aircraft_id,unit_id,component,cycle,predicted_RUL,anomaly_score,is_anomaly,health_status
AC-004,AC-004-landing_gear-14,landing_gear,163,20.757773869323373,14.010711684248925,1,Critical
AC-008,AC-008-landing_gear-30,landing_gear,189,38.13626969279675,11.376495222775631,1,Warning
AC-007,AC-007-engine-25,engine,231,58.5822410422947,17.77702082565298,1,Warning
AC-005,AC-005-landing_gear-18,landing_gear,163,67.65099166064049,6.537333080628626,1,Warning
AC-001,AC-001-brakes-3,brakes,193,80.0229974968372,14.381147996128437,1,Warning
AC-007,AC-007-bogie-28,bogie,194,88.06908416921578,11.3766646894317,1,Warning
AC-006,AC-006-bogie-24,bogie,181,96.60071708070888,8.783136782942508,1,Warning
AC-004,AC-004-engine-13,engine,94,98.17031210316264,8.801879092384633,1,Warning
AC-003,AC-003-bogie-12,bogie,136,105.91960097051877,6.066509006768661,1,Warning
AC-001,AC-001-bogie-4,bogie,120,109.50006542911623,6.463406701196725,1,Warning
AC-003,AC-003-brakes-11,brakes,99,110.78896504290027,6.293132246256519,1,Warning
AC-008,AC-008-brakes-31,brakes,117,110.97975858803389,5.1790967716478065,1,Warning
AC-008,AC-008-engine-29,engine,43,111.78069694621833,4.087045367441468,1,Warning
AC-001,AC-001-engine-1,engine,61,116.50945132186334,4.979265348997412,1,Warning
AC-003,AC-003-engine-9,engine,67,119.29053849549271,4.486012150284651,1,Warning
AC-002,AC-002-engine-5,engine,72,113.27835084802453,3.7510009142542646,0,Healthy
AC-003,AC-003-landing_gear-10,landing_gear,49,114.09350070958517,2.216796886819196,0,Healthy
AC-001,AC-001-landing_gear-2,landing_gear,75,117.18306114904475,1.6478397805017029,0,Healthy
AC-005,AC-005-brakes-19,brakes,73,117.64373843549345,3.922463989840339,0,Healthy
AC-008,AC-008-bogie-32,bogie,71,117.85487388534477,2.673479740873915,0,Healthy
AC-006,AC-006-engine-21,engine,84,117.91555235525446,3.6446283928896896,0,Healthy
AC-002,AC-002-brakes-7,brakes,66,119.51307764342283,2.6163419443026537,0,Healthy
AC-002,AC-002-bogie-8,bogie,71,119.94047571599856,2.643380947583881,0,Healthy
AC-007,AC-007-landing_gear-26,landing_gear,38,120.83952636382372,0.9654170031057956,0,Healthy
AC-004,AC-004-brakes-15,brakes,87,123.09871132624184,2.3834384352572573,0,Healthy
AC-006,AC-006-landing_gear-22,landing_gear,54,127.09799643644907,1.6856491627462686,0,Healthy
AC-004,AC-004-bogie-16,bogie,38,127.31226915724781,1.0810400384527814,0,Healthy
AC-006,AC-006-brakes-23,brakes,59,127.48077718132913,1.860921976970891,0,Healthy
AC-005,AC-005-engine-17,engine,51,129.46817605340274,1.6385602284017704,0,Healthy
AC-007,AC-007-brakes-27,brakes,18,130.0072304269009,1.437378170057049,0,Healthy
AC-002,AC-002-landing_gear-6,landing_gear,11,135.09673165204592,0.19328281577901585,0,Healthy
AC-005,AC-005-bogie-20,bogie,50,137.87939710952097,1.200716304243347,0,Healthy
